Id,uid,company_name,company_description,company_industry,company_address,company_website
1415,http://www.fccsingapore.com/membership/directory/account/1415,APSYS,"
...
",ABC,"
                    1 Boulevard Jean Moulin
CS 70562
                    ELANCOURT CEDEX 
                    78996
",http://www.apsys.airbus.com
1335,http://www.fccsingapore.com/membership/directory/account/1335,AQUANTHUS,"
Olivier Alvarez is the founder of Aquanthus an investment advisory and trading company that...
",ABC,"
                    #11-04 Lush On Holland Hill 21 Holland Hill
                    SINGAPORE 
                    278737
",
975,http://www.fccsingapore.com/membership/directory/account/975,ARC DISTRIBUTION SINGAPORE PTE LTD,"
Arc was founded in Arques, a town in the north of France where the Group's headquarters and...
",ABC,"
                    74A Tras Street
                    SINGAPORE 
                    079013
",http://www.arc-intl.com
1285,http://www.fccsingapore.com/membership/directory/account/1285,ARCTAN ANALYTICS PTE LTD,"
Arctan Analytics is professional services company converting data and analytics into tangible...
",ABC,"
                    10 Anson Road 
#27-15 International Plaza
                    SINGAPORE 
                    079903
",www.arctananalytics.com
720,http://www.fccsingapore.com/membership/directory/account/720,ARIANESPACE SINGAPORE PTE LTD,"
Arianespace is the world’s No.1 commercial space transportation company. It has been providing...
",ABC,"
                    3 Shenton Way
#18-09A Shenton House
                    SINGAPORE 
                    068805
",http://www.arianespace.com
46,http://www.fccsingapore.com/membership/directory/account/46,ARKADIN CLOUD COMMUNICATIONS,"
Arkadin is one of the largest and fastest growing collaboration service providers in the world. Our...
",ABC,"
                    ARKADIN SINGAPORE PTE LTD 3 Anson Road 
#27-01 Springleaf Tower
                    SINGAPORE 
                    079909
",http://www.arkadin.com.sg
47,http://www.fccsingapore.com/membership/directory/account/47,ARKEMA PTE LTD,"
Forane Refrigerants & Blowing Agents
Rheological Chemicals & Solutions / Coatex
Ketonic Solvents...
",ABC,"
                    1 Science Park Road
#04-01/05 The CapricornSingapore Science Park II
                    SINGAPORE 
                    117528
",http://www.arkema.com
1109,http://www.fccsingapore.com/membership/directory/account/1109,ART AND ABODE LLP,"
Art & Abode have created a considered selection of inspirational, individual home accessories; all...
",ABC,"
                    102E Pasir Panjang Road 
#05-04 Citilink Warehouse Complex
                    SINGAPORE 
                    118529
",http://www.artandabode.com
1286,http://www.fccsingapore.com/membership/directory/account/1286,ART OF CLICK,"
Art of Click is a mobile performance demand-side platform with an extensive network all across the...
",ABC,"
                    737A North Bridge Road
                    SINGAPORE 
                    198705
",www.artofclick.com
1441,http://www.fccsingapore.com/membership/directory/account/1441,ART PORTERS,"
Art Porters curates artworks that appeal and interest a wide, diverse audience of experienced and...
",ABC,"
                    64 Spottiswoode Park Road
                    SINGAPORE 
                    088652
",http://www.artporters.com
862,http://www.fccsingapore.com/membership/directory/account/862,ARTISAN BOULANGERIE CO,"
Artisan Boulangerie Co. (ABC) is a contemporary neighborhood café and bistro concept. ABC’s...
",ABC,"
                    1 Senoko Avenue  
#05-06 Foodaxis @ Senoko
                    SINGAPORE 
                    758297
",artisanbakery.com.sg; altpizza.com.sg
842,http://www.fccsingapore.com/membership/directory/account/842,ASA ADVISORY SERVICES PTE LTD,"
Stop talking about innovation and make it happen.

Our practical solutions can ultimately help...
",ABC,"
                    21 Palm Grove Avenue 
#01-18  
                    SINGAPORE 
                    547320
",http://www.asaadvisory.com
